host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,1,3,19900,0,4.8,4.7,4.8,4.8,4.8,4.7,1,7,0.02
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,6,844,4.68,4.77,4.65,4.51,4.76,4.77,4.69,2,1125,2.59
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.99,4,596,4.66,4.76,4.65,4.88,4.91,4.82,4.65,1,1125,1.1
within an hour,t,t,Entire rental unit,Entire home/apt,f,0.99,0.99,3,2330,4.82,4.88,4.86,5,4.92,5,4.78,1,365,1.12
within an hour,f,t,Entire home,Entire home/apt,f,1,0.8,6,859,5,5,4.83,5,5,4.67,4.67,1,1125,0.19
Desconocido,f,t,Private room in condo,Private room,f,0.9,0.66,2,350,4.59,4.82,4.71,5,5,5,4.76,1,1125,0.38
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,4,970,4.98,4.98,4.98,5,5,4.98,4.98,1,1125,1.06
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,3,750,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,364,1.1
within a few hours,f,t,Entire rental unit,Entire home/apt,f,0.88,0.82,2,914,4.5,4.83,4.83,5,4.83,4.44,4.39,1,7,0.47
within an hour,f,t,Entire condo,Entire home/apt,f,1,1,2,950,4.42,4.73,4.55,4.76,4.82,4.67,4.52,1,1,0.75
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.98,4,4718,4.91,4.94,5,4.91,5,4.88,4.81,2,1125,0.77
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,595,5,5,5,5,4.88,4.76,4.94,2,1125,0.39
a few days or more,f,f,Private room in rental unit,Private room,t,0.25,1,2,198,5,5,5,5,5,5,5,2,5,0.02
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1626,4.79,4.77,4.87,4.87,4.87,4.85,4.75,1,1125,1.1
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,571,4.84,4.92,4.91,4.92,4.9,4.78,4.89,1,1125,3.31
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,4,1200,5,5,5,5,5,4.97,4.94,3,30,0.83
within a few hours,f,t,Private room in rental unit,Private room,t,1,1,2,553,5,4.33,5,5,5,4.67,4.33,3,15,0.07
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,4,2843,4.89,4.88,4.93,4.92,4.97,4.98,4.78,2,30,3.89
Desconocido,f,f,Entire loft,Entire home/apt,t,0.9,0.9,1,200,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,1125,1.1
within an hour,f,t,Entire rental unit,Entire home/apt,f,0.99,0.99,2,2063,4.92,5,4.93,4.97,5,4.97,4.85,1,365,1.36
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,3,1390,5,5,5,5,4.97,5,4.97,1,1125,0.76
within an hour,f,t,Entire condo,Entire home/apt,f,0.67,0.8,6,800,5,5,4.83,5,4.83,5,5,1,120,0.29
Desconocido,f,t,Private room in serviced apartment,Private room,t,0.9,0,4,650,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,10,1.1
within an hour,t,t,Entire rental unit,Entire home/apt,f,0.99,0.99,3,2205,4.79,4.8,4.82,4.89,4.9,4.99,4.69,1,365,2.09
