host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,6,3744.51,4.83,4.78,4.81,4.97,4.88,4.98,4.76,1,1125,1.28
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1168.09,4.57,4.69,4.68,4.41,4.74,4.88,4.51,2,30,2.16
within an hour,Desconocido,t,Private room in rental unit,Private room,f,1,0.98,1,924,4.88,4.94,4.95,4.88,4.93,4.9,4.85,3,10,1.98
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,4,1004.85,4.37,4.56,4.43,4.63,4.58,4.91,4.54,3,1125,2.48
within a few hours,f,t,Entire serviced apartment,Entire home/apt,f,0.99,0.83,4,1556.17,3.67,4.5,3,4.33,4.5,4.33,3.33,1,1125,0.12
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,2616.46,4.99,4.99,4.98,4.98,4.99,5,4.9,2,30,3.42
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,2,1155,4.86,4.88,4.85,4.83,4.94,4.74,4.79,1,1125,1.29
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,6,2266.11,4.95,4.97,4.94,4.98,5,4.97,4.94,2,1125,4.29
within an hour,t,t,Entire condo,Entire home/apt,f,1,0.97,2,1080.31,4.83,4.87,4.92,4.92,4.96,4.84,4.76,3,400,2.43
Desconocido,f,t,Private room in rental unit,Private room,t,1,1,2,1584.66,3.86,4.71,4.57,4.57,4.86,4.29,4.14,1,1125,0.14
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.92,6,2579.5,4.76,4.8,4.84,4.67,4.73,4.6,4.85,2,1125,0.98
within a few hours,f,t,Entire serviced apartment,Entire home/apt,f,0.99,0.83,2,1001.77,4.6,4.75,4.52,4.88,4.83,4.58,4.69,1,1125,0.88
Desconocido,f,f,Room in boutique hotel,Hotel room,f,1,0.9,2,18214.35,1,1,1,1,1,1,1,1,1125,0.05
within an hour,f,t,Private room in condo,Private room,t,1,0.88,2,975.59,4.9,4.94,4.84,4.9,4.97,4.94,4.9,1,1125,0.61
within an hour,f,t,Entire serviced apartment,Entire home/apt,t,1,0.99,3,1943.48,4.52,4.71,4.69,4.21,4.69,4.95,4.53,2,1125,1.45
within an hour,f,t,Shared room in hostel,Shared room,t,1,0.89,1,643.72,4.28,4.47,4.44,4.75,4.56,4.97,4.63,1,1125,0.62
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,10,1828.75,4.27,4.34,4.04,4.57,4.58,4.92,4.5,3,1125,2.82
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,0.63,2,752.29,5,4.88,4.88,4.88,4.94,4.75,4.94,3,50,0.33
Desconocido,f,f,Entire rental unit,Entire home/apt,f,1,0.9,2,8196.65,4.5,5,4,5,5,5,4.5,1,14,0.04
